iter	MultiClass
0	0.9578427326
1	0.8388693357
2	0.7426697644
3	0.6640002481
4	0.5957375402
5	0.5390003183
6	0.4855102903
7	0.4411746641
8	0.4005436468
9	0.3650066073
10	0.3339371001
11	0.3052911327
12	0.2793673487
13	0.2557316897
14	0.2348070888
15	0.215622975
16	0.1993639194
17	0.1834246513
18	0.1693133153
19	0.1567273586
20	0.1448568048
21	0.134224189
22	0.1245268851
23	0.1154988181
24	0.1072688518
25	0.09957572412
26	0.09264223903
27	0.08624994626
28	0.08028398918
29	0.07504816697
30	0.06993181945
31	0.06491498568
32	0.06077245862
33	0.05688864889
34	0.05308013974
35	0.05003556155
36	0.04683824801
37	0.04376726955
38	0.04100191256
39	0.0383917698
40	0.03601488548
41	0.03405911066
42	0.03195236967
43	0.0299623945
44	0.02826372879
45	0.02664430761
46	0.02518759897
47	0.02390962265
48	0.02252033837
49	0.02119415937
50	0.0199190937
51	0.01890172344
52	0.01791774941
53	0.0170108406
54	0.01618820624
55	0.01538478602
56	0.01476372291
57	0.01424142315
58	0.01349215414
59	0.01294513527
60	0.01236662555
61	0.01196530039
62	0.01138057499
63	0.01093542435
64	0.01043809096
65	0.01004566193
66	0.009670851521
67	0.009263173208
68	0.008927115123
69	0.008553040103
70	0.008248618383
71	0.007941054215
72	0.007690170211
73	0.007438157474
74	0.007423936745
75	0.007162633332
76	0.006957259503
77	0.006701239185
78	0.00654747445
79	0.006377534216
80	0.006346380369
81	0.006231004584
82	0.006039285091
83	0.00588171736
84	0.005875166807
85	0.005674088889
86	0.005666432805
87	0.005475444631
88	0.005283739198
89	0.005275938848
90	0.005142381065
91	0.005131084484
92	0.00503048928
93	0.005027330769
94	0.004853821978
95	0.004848091919
96	0.004692598652
97	0.00459469501
98	0.004591599353
99	0.004524847596
100	0.004521702099
101	0.004416940985
102	0.004414467617
103	0.004290490372
104	0.00420853169
105	0.004094454529
106	0.003980505514
107	0.003975719856
108	0.003864042092
109	0.003818793278
110	0.003717465999
111	0.00366804887
112	0.003664737569
113	0.00366236161
114	0.003548210113
115	0.003545797977
116	0.003543688731
117	0.003534441893
118	0.003532317759
119	0.003437213395
120	0.003386151799
121	0.003335931712
122	0.003244381463
123	0.00319527537
124	0.003119384221
125	0.003060151778
126	0.0030547467
127	0.003052497763
128	0.003049057799
129	0.003047308935
130	0.003045594005
131	0.003042790996
132	0.002978395316
133	0.002942093781
134	0.002890023834
135	0.002887085447
136	0.002824341139
137	0.002771257885
138	0.002725850902
139	0.002723196415
140	0.002721822963
141	0.002717809686
142	0.00266398895
143	0.002660860812
144	0.002630054237
145	0.002606772305
146	0.002604507728
147	0.002601605301
148	0.002550645306
149	0.002509513057
150	0.002459633973
151	0.002439784867
152	0.002396118074
153	0.002393760719
154	0.002347013217
155	0.002308001972
156	0.002306282735
157	0.002304517644
158	0.002281873974
159	0.0022799834
160	0.002238427876
161	0.002236643045
162	0.002218365742
163	0.002208758382
164	0.002207637376
165	0.002168825645
166	0.002167929949
167	0.00216602311
168	0.002163940476
169	0.002160550164
170	0.002131552493
171	0.002098286414
172	0.002071527582
173	0.002044842925
174	0.002044034426
175	0.00200129756
176	0.001978658323
177	0.001961907661
178	0.001960442729
179	0.001937269503
180	0.001917365718
181	0.001888406615
182	0.001867680148
183	0.001850612128
184	0.001849318012
185	0.001848523536
186	0.001847734306
187	0.001846617561
188	0.001828985664
189	0.001797660022
190	0.001779646597
191	0.001775156371
192	0.001753395754
193	0.001752768818
194	0.001737521865
195	0.001736157712
196	0.001732136414
197	0.001720070564
198	0.001718555145
199	0.001705460533
200	0.001692743822
201	0.00169138973
202	0.001665749765
203	0.001639009118
204	0.001629155201
205	0.001627952607
206	0.001617153694
207	0.001615881836
208	0.001595741468
209	0.00159456405
210	0.001593591637
211	0.001592765852
212	0.001574710433
213	0.001573995987
214	0.001573045793
215	0.001571965639
216	0.001559791973
217	0.001550639012
218	0.001530654707
219	0.001520228191
220	0.001507040419
221	0.001491759608
222	0.001476619522
223	0.001468047843
224	0.001467244728
225	0.001466324759
226	0.001449749233
227	0.00143788199
228	0.001437310581
229	0.001418899567
230	0.001411520958
231	0.001401443468
232	0.001400486034
233	0.001390897871
234	0.001381266973
235	0.001376665318
236	0.001367268873
